Frequency_Hz S21_dB
1000000.0 -0.050
101000000.0 -0.151
201000000.0 -0.220
301000000.0 -0.282
401000000.0 -0.345
501000000.0 -0.401
601000000.0 -0.445
701000000.0 -0.479
801000000.0 -0.503
901000000.0 -0.526
1001000000.0 -0.550
1101000000.0 -0.575
1201000000.0 -0.601
1301000000.0 -0.628
1401000000.0 -0.654
1501000000.0 -0.680
1601000000.0 -0.706
1701000000.0 -0.730
1801000000.0 -0.755
1901000000.0 -0.778
2001000000.0 -0.800
2101000000.0 -0.821
2201000000.0 -0.842
2301000000.0 -0.861
2401000000.0 -0.881
2501000000.0 -0.900
2601000000.0 -0.920
2701000000.0 -0.940
2801000000.0 -0.960
2901000000.0 -0.980
3001000000.0 -1.000
3101000000.0 -1.020
3201000000.0 -1.040
3301000000.0 -1.060
3401000000.0 -1.080
3501000000.0 -1.100
3601000000.0 -1.120
3701000000.0 -1.140
3801000000.0 -1.160
3901000000.0 -1.180
4001000000.0 -1.200
4101000000.0 -1.219
4201000000.0 -1.239
4301000000.0 -1.259
4401000000.0 -1.279
4501000000.0 -1.298
4601000000.0 -1.318
4701000000.0 -1.338
4801000000.0 -1.357
4901000000.0 -1.377
5001000000.0 -1.396
